Query_ID	Query
114	it OR is OR not OR likely OR that OR the OR airforces OR on OR a OR wing OR of OR general OR planform OR oscillating OR in OR transonic OR flow OR can OR be OR determined OR by OR purely OR analytical OR methods OR is OR it OR possible OR to OR determine OR the OR airforces OR on OR a OR single OR particular OR planform OR such OR as OR the OR rectangular OR one OR by OR such OR method
115	is OR the OR problem OR of OR similarity OR for OR representative OR investigations OR of OR aeroelastic OR effects OR in OR heated OR flow OR as OR intractable OR as OR previous OR investigations OR imply
116	what OR is OR the OR magnitude OR and OR distribution OR of OR lift OR over OR the OR cone OR and OR the OR cylindrical OR portion OR of OR a OR cone OR cylinder OR configuration
117	is OR there OR any OR information OR on OR how OR the OR addition OR of OR a OR /boat OR tail/ OR affects OR the OR normal OR force OR on OR the OR body OR of OR various OR angles OR of OR incidence
118	what OR are OR the OR aerodynamic OR interference OR effects OR on OR the OR fin OR lift OR and OR body OR lift OR of OR a OR fin OR body OR combination
120	are OR previous OR analyses OR of OR circumferential OR thermal OR buckling OR of OR circular OR cylindrical OR shells OR unnecessarily OR involved OR or OR even OR inaccurate OR due OR to OR the OR assumed OR forms OR of OR buckling OR mode
121	what OR papers OR are OR there OR dealing OR with OR circumferential OR buckling OR either OR thermal OR buckling OR or OR due OR to OR mechanical OR loading
122	what OR analytical OR investigations OR have OR been OR made OR of OR the OR stability OR of OR conical OR shells OR how OR do OR the OR results OR compare OR with OR experiment
123	has OR any OR work OR been OR done OR on OR determining OR the OR nature OR of OR compressible OR viscous OR flow OR in OR a OR straight OR channel
124	in OR what OR areas OR other OR than OR low OR density OR wind OR tunnel OR flows OR is OR viscous OR compressible OR flow OR in OR slender OR channels OR a OR problem OR what OR analytical OR investigations OR have OR been OR made OR of OR the OR stability OR of OR conical OR shells OR how OR do OR the OR results OR compare OR with OR experiment
125	jet OR interference OR with OR supersonic OR flow OR experimental OR papers
126	thrust OR vector OR control OR by OR fluid OR injection OR papers
127	is OR it OR possible OR to OR obtain OR a OR reasonably OR simple OR analytical OR solution OR to OR the OR heat OR equation OR for OR an OR exponential OR in OR time OR heat OR input
128	has OR anyone OR programmed OR a OR pump OR design OR method OR for OR a OR high OR speed OR digital OR computer
129	has OR anyone OR derived OR simplified OR pump OR design OR equation OR from OR the OR fundamental OR three OR dimensional OR equations OR for OR incompressible OR nonviscous OR flow
130	what OR are OR the OR flutter OR characteristics OR of OR the OR exposed OR skin OR panels OR of OR the OR x OR 15 OR vertical OR stabilizer OR when OR subjected OR to OR aerodynamic OR heating
131	what OR agreement OR is OR found OR between OR theoretically OR predicted OR instability OR times OR and OR experimentally OR measured OR collapse OR times OR for OR compressed OR columns OR in OR creep
132	theoretical OR studies OR of OR creep OR buckling
133	experimental OR studies OR of OR creep OR buckling
134	is OR it OR possible OR to OR correlate OR the OR results OR on OR the OR creep OR buckling OR of OR widely OR different OR structures OR within OR the OR framework OR of OR a OR single OR theory
135	what OR are OR the OR experimental OR results OR for OR the OR creep OR buckling OR of OR columns
136	what OR are OR the OR results OR for OR the OR creep OR buckling OR of OR round OR tubes OR under OR external OR pressure
137	have OR any OR analytical OR studies OR been OR conducted OR on OR the OR time OR to OR failure OR mechanism OR associated OR with OR creep OR collapse OR for OR a OR long OR circular OR cylindrical OR shell OR which OR exhibits OR both OR primary OR and OR secondary OR creep OR as OR well OR as OR elastic OR deformations OR under OR various OR distributed OR force OR systems
138	has OR the OR effect OR of OR initial OR stresses OR on OR the OR frequencies OR of OR vibration OR of OR circular OR cylindrical OR shells OR been OR investigated
139	has OR the OR effect OR of OR the OR change OR of OR initial OR pressure OR due OR to OR deformation OR on OR the OR frequencies OR of OR vibration OR of OR circular OR cylindrical OR shells OR been OR investigated
140	what OR are OR the OR discontinuity OR stresses OR at OR junctions OR in OR pressurized OR structures
141	what OR analytical OR solutions OR are OR available OR for OR stresses OR in OR edge OR loaded OR shells OR of OR revolution
142	what OR dome OR contours OR minimize OR discontinuity OR stresses OR when OR used OR as OR closures OR on OR cylindrical OR pressure OR vessels
143	what OR general OR solutions OR for OR the OR stresses OR in OR pressurized OR shells OR of OR revolution OR are OR available
144	can OR studies OR of OR pure OR membrane OR cylinders OR having OR no OR wall OR bending OR stiffness OR but OR maintaining OR their OR shape OR by OR virtue OR of OR internal OR pressure OR provide OR any OR insight OR into OR the OR behaviour OR of OR pressurized OR cylinders OR with OR finite OR wall OR stiffness
145	what OR are OR the OR best OR experimental OR data OR and OR classical OR small OR deflection OR theory OR analyses OR available OR for OR pressurized OR cylinders OR in OR bending
146	does OR a OR membrane OR theory OR exist OR by OR which OR the OR behaviour OR of OR pressurized OR membrane OR cylinders OR in OR bending OR can OR be OR predicted
147	what OR are OR the OR equations OR which OR define OR the OR stability OR of OR simply OR supported OR corrugated OR core OR sandwich OR cylinders
148	papers OR on OR small OR deflection OR theory OR for OR buckling OR of OR sandwich OR cylinders
149	has OR anyone OR developed OR an OR analysis OR which OR accurately OR establishes OR the OR large OR deflection OR behaviour OR of OR conical OR shells
150	what OR is OR the OR magnitude OR of OR second OR order OR wing OR body OR interference OR at OR high OR supersonic OR mach OR number
151	what OR is OR the OR best OR theoretical OR method OR for OR calculating OR pressure OR on OR the OR surface OR of OR a OR wing OR alone
152	how OR can OR the OR effect OR of OR the OR boundary OR layer OR on OR wing OR pressure OR be OR calculated OR and OR what OR is OR its OR magnitude
153	how OR should OR the OR navier OR stokes OR difference OR equations OR be OR solved
154	which OR iterative OR method OR for OR solving OR linear OR elliptic OR difference OR equations OR is OR most OR rapidly OR convergent
155	technical OR report OR on OR measurement OR of OR ablation OR during OR flight
156	what OR qualitative OR and OR quantitative OR material OR is OR available OR on OR ablation OR materials OR research
157	have OR flow OR fields OR been OR calculated OR for OR blunt OR nosed OR bodies OR and OR compared OR with OR experiment OR for OR a OR wide OR range OR of OR free OR stream OR conditions OR and OR body OR shapes
158	what OR are OR the OR available OR properties OR of OR high OR temperature OR air
159	what OR is OR the OR magnitude OR of OR aerodynamic OR damping OR in OR flexible OR vibration OR modes OR of OR a OR slender OR body OR of OR revolution OR characteristic OR of OR launch OR vehicles
160	compressive OR circumferential OR stresses OR in OR a OR torispherical OR shell OR reveal OR the OR possibility OR of OR buckling OR under OR internal OR pressure OR has OR anyone OR investigated OR for OR which OR ranges OR of OR shell OR parameters OR these OR stresses OR are OR sufficiently OR large OR to OR cause OR elastic OR buckling
161	is OR there OR an OR integral OR method OR to OR give OR a OR single OR and OR sufficiently OR accurate OR method OR of OR calculating OR the OR laminar OR separate OR point OR for OR various OR incompressible OR and OR compressible OR boundary OR layers OR with OR zero OR heat OR transfer
162	what OR accurate OR or OR exact OR solutions OR of OR the OR laminar OR separation OR point OR for OR various OR incompressible OR and OR compressible OR boundary OR layers OR with OR zero OR heat OR transfer OR are OR available
163	can OR the OR hypersonic OR similarity OR results OR be OR applied OR to OR the OR technique OR of OR predicting OR surface OR pressures OR of OR an OR ogive OR forebody OR at OR angle OR of OR attack
164	what OR determines OR the OR onset OR of OR shock OR induced OR boundary OR layer OR separation
165	are OR the OR stable OR profiles OR of OR a OR compressible OR boundary OR layer OR induced OR by OR a OR moving OR wave OR known
166	are OR there OR experimental OR results OR on OR the OR stability OR of OR a OR compressible OR boundary OR layer OR induced OR by OR a OR moving OR wave
167	exact OR solution OR methods OR for OR calculating OR the OR ablative OR mass OR loss OR of OR a OR material OR ablating OR at OR high OR temperatures OR in OR a OR hypersonic OR flight OR environment
168	what OR approximate OR solutions OR are OR known OR to OR the OR direct OR problem OR of OR transonic OR flow OR in OR the OR throat OR of OR a OR nozzle OR i OR e OR finding OR the OR flow OR in OR a OR given OR nozzle
169	what OR approximate OR solutions OR are OR known OR to OR the OR indirect OR problem OR of OR transonic OR flow OR in OR the OR throat OR of OR a OR nozzle OR i OR e OR finding OR a OR nozzle OR which OR has OR a OR given OR axial OR velocity OR distribution
170	why OR do OR users OR of OR orthodox OR pitot OR static OR tubes OR often OR find OR that OR the OR calibrations OR appear OR to OR be OR a OR significantly OR different OR from OR those OR formerly OR specified OR b OR wildly OR variable OR at OR low OR reynolds OR numbers
171	has OR a OR comparison OR been OR made OR between OR interference OR free OR drag OR measurements OR using OR free OR flight OR models OR and OR similar OR measurements OR made OR in OR a OR low OR blockage OR wind OR tunnel
172	solution OR of OR the OR blasius OR problem OR with OR three OR point OR boundary OR conditions
173	references OR on OR lyapunov's OR method OR on OR the OR stability OR of OR linear OR differential OR equations OR with OR periodic OR coefficients
174	obtain OR all OR papers OR and OR reports OR that OR contain OR shock OR detachment OR distance OR data
175	work OR on OR flow OR in OR channels OR at OR low OR reynolds OR numbers
176	some OR approximate OR analytical OR heat OR conduction OR solutions OR using OR methods OR other OR than OR biot's OR principle
177	what OR mode OR of OR stalling OR can OR be OR expected OR for OR each OR stage OR of OR an OR axial OR compressor
178	has OR a OR criterion OR been OR established OR for OR determining OR the OR axial OR compressor OR choking OR line
179	has OR a OR theory OR of OR quasi OR conical OR flows OR been OR developed OR in OR supersonic OR linearised OR theory OR for OR which OR the OR upwash OR distribution OR on OR the OR lifting OR surface OR apart OR from OR being OR a OR homogeneous OR function OR in OR the OR co OR ordinate OR is OR permitted OR to OR have OR a OR quite OR general OR functional OR form
180	how OR does OR scale OR height OR vary OR with OR altitude OR in OR an OR atmosphere
181	jet OR interference OR with OR supersonic OR flows OR theoretical OR papers
182	effects OR of OR leading OR edge OR bluntness OR on OR the OR flutter OR characteristics OR of OR some OR square OR planform OR double OR wedge OR airfoils OR at OR mach OR numbers OR less OR than OR 15 OR 4
183	what OR factors OR have OR been OR shown OR to OR have OR a OR primary OR influence OR on OR sonic OR boom OR strength
184	work OR on OR small OR oscillation OR re OR entry OR motions
185	experimental OR studies OR on OR panel OR flutter
186	how OR can OR wing OR body OR flow OR field OR interference OR effects OR be OR approximated OR rationally
187	has OR anyone OR analytically OR or OR experimentally OR investigated OR the OR effects OR of OR internal OR pressure OR on OR the OR buckling OR of OR circular OR cylindrical OR shells OR under OR bending
188	what OR theoretical OR and OR experimental OR work OR has OR been OR done OR on OR the OR excitation OR and OR response OR of OR typical OR structures OR in OR a OR noise OR environment
189	is OR there OR a OR design OR method OR for OR calculating OR thermal OR fatigue OR endurances OR of OR components OR of OR various OR types OR and OR sizes OR in OR a OR variety OR of OR circumstances
190	will OR an OR analysis OR of OR panel OR flutter OR based OR on OR arbitrarily OR assumed OR modes OR of OR deformation OR prove OR satisfactory OR and OR if OR so OR what OR is OR the OR minimum OR number OR of OR modes OR that OR need OR be OR considered
191	what OR is OR the OR criterion OR for OR true OR panel OR flutter OR as OR opposed OR to OR small OR amplitude OR vibration OR arising OR from OR acoustic OR disturbances
192	papers OR dealing OR with OR uniformly OR loaded OR sectors
193	general OR methods OR of OR solving OR clamped OR plate OR problems
194	how OR can OR the OR analytical OR solution OR of OR the OR buckling OR strength OR of OR a OR uniform OR circular OR cylinder OR loaded OR in OR axial OR compression OR be OR refined OR so OR as OR to OR lower OR the OR buckling OR load
195	in OR the OR problem OR of OR the OR buckling OR strength OR of OR uniform OR circular OR cylinders OR loaded OR in OR axial OR compression OR does OR the OR linear OR solution OR help OR with OR improving OR the OR non OR linear OR one
196	the OR problem OR of OR similarity OR for OR representative OR investigation OR of OR aeroelastic OR effects OR in OR a OR flow OR with OR the OR absence OR of OR heating OR effects
197	how OR is OR fatigue OR damage OR estimated OR using OR the OR normal OR long OR hand OR method
198	is OR there OR any OR information OR available OR on OR the OR difference OR in OR the OR effects OR of OR various OR edge OR conditions OR on OR the OR buckling OR of OR cylindrical OR shells
199	have OR non OR linear OR large OR deflection OR analyses OR been OR conducted OR for OR shell OR shapes OR other OR than OR conical
200	are OR asymptotic OR methods OR sufficiently OR accurate OR in OR the OR determination OR of OR pre OR buckling OR stresses OR in OR torispherical OR shells OR or OR must OR we OR resort OR to OR numerical OR methods
201	what OR are OR the OR nonequilibrium OR chemical OR constituents OR in OR the OR viscous OR shock OR layer OR ahead OR of OR a OR blunt OR re OR entry OR vehicle
202	how OR accurate OR are OR existing OR analytical OR theories OR in OR estimating OR pressure OR distributions OR on OR cones OR at OR incidence OR at OR hypersonic OR speeds
203	are OR simple OR empirical OR methods OR of OR any OR use OR for OR estimating OR pressure OR distribution OR in OR cones
204	do OR viscous OR effects OR seriously OR modify OR pressure OR distributions
205	has OR anyone OR investigated OR theoretically OR whether OR surface OR flexibility OR can OR stabilize OR a OR laminar OR boundary OR layer
206	how OR do OR subsonic OR and OR transonic OR flutter OR data OR measured OR in OR the OR new OR langley OR transonic OR dynamics OR tunnel OR compare OR with OR similar OR data OR obtained OR in OR other OR facilities
207	how OR do OR large OR changes OR in OR new OR mass OR ratio OR quantitatively OR affect OR wing OR flutter OR boundaries
208	what OR is OR the OR effect OR of OR the OR shape OR of OR the OR drag OR polar OR of OR a OR lifting OR spacecraft OR on OR the OR amount OR of OR reduction OR in OR maximum OR deceleration OR obtainable OR by OR continuously OR varying OR the OR aerodynamic OR coefficients OR during OR re OR entry
